"table_name","column_name","attribute","type","original_id","original_row"
"CAD_Secao_Logradouro","nome_logradouro",NULL,"text",62,"{""id"":62,""geom"":{""type"":""MultiLineString"",""coordinates"":[[[721842.4707677368,7703476.77275479],[721777.9920687716,7703474.166169087],[721760.8434786212,7703469.501752567]]]},""tipo"":null,""nome_logradouro"":null,""codigo"":null,""secao_e"":null,""secao_d"":null}"
"CAD_Geocodificacao","inscricao","01.01.0004.0082.002","text",85,"{""id"":85,""geom"":{""type"":""Point"",""coordinates"":[721626.5730499044,7703661.46925306]},""distrito"":1,""setor"":1,""quadra"":4,""lote"":82,""unidade"":2,""inscricao"":""01.01.0004.0082.002"",""inscricao_anterior"":null,""proprietario_"":""Victor Marotta"",""cpf"":""25.944.455/0001-96"",""logradouro_correspondencia"":null,""numero_correspondencia"":null,""\ncomplemento_correspondencia"":null,""bairro_correspondencia"":null,""cep_correspondencia"":null,""ocupacao"":null,""utilizacao"":null,""patrimonio"":null,""imune_isento_iptu"":null,""imune_isento_tsu"":null,""foto"":null,""status"":1}"
"CAD_Geocodificacao","cpf","25.944.455/0001-96","text",46,"{""id"":46,""geom"":{""type"":""Point"",""coordinates"":[721216.4986514664,7703438.293051967]},""distrito"":1,""setor"":1,""quadra"":5,""lote"":74,""unidade"":1,""inscricao"":""01.01.0005.0074.001"",""inscricao_anterior"":null,""proprietario_"":""Victor Marotta"",""cpf"":""25.944.455/0001-96"",""logradouro_correspondencia"":null,""numero_correspondencia"":null,""\ncomplemento_correspondencia"":null,""bairro_correspondencia"":null,""cep_correspondencia"":null,""ocupacao"":null,""utilizacao"":null,""patrimonio"":null,""imune_isento_iptu"":null,""imune_isento_tsu"":null,""foto"":null,""status"":1}"
"CAD_Secao_Logradouro","codigo",NULL,"integer",46,"{""id"":46,""geom"":{""type"":""MultiLineString"",""coordinates"":[[[721673.6600462962,7703866.114345564],[721626.1927487601,7703827.015560022],[721605.4772518585,7703813.708254064],[721578.4510737816,7703803.830666138]]]},""tipo"":null,""nome_logradouro"":null,""codigo"":null,""secao_e"":null,""secao_d"":null}"
"CAD_Geocodificacao","inscricao","01.01.0002.0315.001","text",89,"{""id"":89,""geom"":{""type"":""Point"",""coordinates"":[721633.0309144467,7703589.672994325]},""distrito"":1,""setor"":1,""quadra"":2,""lote"":315,""unidade"":1,""inscricao"":""01.01.0002.0315.001"",""inscricao_anterior"":null,""proprietario_"":""Victor Marotta"",""cpf"":""25.944.455/0001-96"",""logradouro_correspondencia"":null,""numero_correspondencia"":null,""\ncomplemento_correspondencia"":null,""bairro_correspondencia"":null,""cep_correspondencia"":null,""ocupacao"":null,""utilizacao"":null,""patrimonio"":null,""imune_isento_iptu"":null,""imune_isento_tsu"":null,""foto"":null,""status"":1}"
"CAD_Secao_Logradouro","secao_d",NULL,"integer",72,"{""id"":72,""geom"":{""type"":""MultiLineString"",""coordinates"":[[[721395.3118591523,7703529.382153003],[721395.0426894198,7703529.57986584],[721394.74227016,7703529.808664478],[721394.4458671791,7703530.042642728],[721394.1535697695,7703530.281730104],[721393.8654659868,7703530.525854578],[721393.581642623,7703530.774942609],[721393.302185181,7703531.028919157],[721393.027177848,7703531.287707711],[721392.7567034712,7703531.5512303095],[721392.4908435317,7703531.819407566],[721392.2296781205,7703532.092158692],[721391.9732859147,7703532.36940152],[721391.7217441533,7703532.651052529],[721391.475128614,7703532.937026871],[721391.2335135905,7703533.227238396],[721390.9969718702,7703533.521599676],[721390.765574712,7703533.820022034],[721390.539391825,7703534.12241557],[721390.3184913475,7703534.4286891855],[721390.1029398266,7703534.738750616],[721389.8928021978,7703535.052506453],[721389.6881417658,7703535.369862178],[721389.4890201851,7703535.690722187],[721389.2954974418,7703536.0149898175],[721389.1076318353,7703536.342567385],[721388.9254799605,7703536.673356204],[721388.7490966915,7703537.007256625],[721388.5785351642,7703537.3441680595],[721388.4138467609,7703537.68398901],[721388.2550810943,7703538.026617105],[721388.1022859934,7703538.371949128],[721387.9555074879,7703538.719881045],[721387.8147897954,7703539.070308041],[721387.6801753077,7703539.423124549],[721387.5517045775,7703539.778224282],[721387.4294163075,7703540.135500264],[721387.3133473371,7703540.494844866],[721387.2035326324,7703540.856149834],[721387.1000052757,7703541.219306322],[721387.0027964547,7703541.584204929],[721386.9119354541,7703541.950735729],[721386.8274496458,7703542.318788303],[721386.7493644818,7703542.688251773],[721386.6777034851,7703543.059014838],[721386.6124882441,7703543.430965804],[721386.5537384049,7703543.803992619],[721386.5014716662,7703544.177982909],[721386.4557037735,7703544.552824006],[721386.4164485144,7703544.928402991],[721386.3837177149,7703545.304606717],[721386.3575212352,7703545.681321852],[721386.337866967,7703546.05843491],[721386.3247608311,7703546.435832283],[721386.318206776,7703546.813400282],[721386.318206776,7703547.19102516],[721386.3247608311,7703547.568593158],[721386.337866967,7703547.945990532],[721386.3575212352,7703548.32310359],[721386.3837177149,7703548.699818725],[721386.4164485144,7703549.076022451],[721386.4557037735,7703549.451601435],[721386.5014716662,7703549.826442533],[721386.5537384049,7703550.200432823],[721386.6124882441,7703550.573459638],[721386.6777034851,7703550.945410604],[721386.7493644818,7703551.316173669],[721386.8274496458,7703551.685637139],[721386.9119354541,7703552.053689713],[721387.0027964547,7703552.420220513],[721387.1000052757,7703552.78511912],[721387.2035326324,7703553.148275608],[721387.3133473371,7703553.509580576],[721387.4294163075,7703553.8689251775],[721387.5517045775,7703554.22620116],[721387.6801753077,7703554.581300893],[721387.8147897954,7703554.934117401],[721387.8158541458,7703554.936767936]]]},""tipo"":null,""nome_logradouro"":null,""codigo"":2,""secao_e"":null,""secao_d"":null}"
"CAD_Edificacao","inscricao",".001","text",145,"{""id"":145,""geom"":{""type"":""MultiPolygon"",""coordinates"":[[[[721455.5878937143,7703824.620623805],[721456.2285055849,7703833.400774736],[721458.5479068636,7703833.400774736],[721458.5479068636,7703837.329698078],[721459.5124209651,7703837.329698078],[721459.5126953125,7703839.994483067],[721471.9711796436,7703838.721621522],[721471.6667266601,7703835.741703761],[721472.7017290153,7703835.635959381],[721471.9898430486,7703821.961426772],[721462.9836077469,7703822.430284663],[721463.055027747,7703823.802182926],[721455.5878937143,7703824.620623805]]]]},""inscricao"":"".001""}"
"CAD_Lote","inscricao_lote","01.01.0004.0372","text",50,"{""id"":50,""geom"":{""type"":""Polygon"",""coordinates"":[[[721300.8842276998,7703595.667015484],[721313.6768418606,7703630.389825349],[721314.0417406915,7703631.375052191],[721332.8832628289,7703625.176653943],[721319.3412337262,7703589.064576336],[721306.7488114402,7703593.520356529],[721300.8842276998,7703595.667015484]]]},""inscricao_lote"":""01.01.0004.0372""}"
"CAD_Geocodificacao","inscricao","01.01.0002.0299.001","text",83,"{""id"":83,""geom"":{""type"":""Point"",""coordinates"":[721612.7076348577,7703587.773622401]},""distrito"":1,""setor"":1,""quadra"":2,""lote"":299,""unidade"":1,""inscricao"":""01.01.0002.0299.001"",""inscricao_anterior"":null,""proprietario_"":""Victor Marotta"",""cpf"":""25.944.455/0001-96"",""logradouro_correspondencia"":null,""numero_correspondencia"":null,""\ncomplemento_correspondencia"":null,""bairro_correspondencia"":null,""cep_correspondencia"":null,""ocupacao"":null,""utilizacao"":null,""patrimonio"":null,""imune_isento_iptu"":null,""imune_isento_tsu"":null,""foto"":null,""status"":1}"
"CAD_Secao_Logradouro","tipo",NULL,"text",58,"{""id"":58,""geom"":{""type"":""MultiLineString"",""coordinates"":[[[721616.7953213577,7703774.472279804],[721584.6245662363,7703743.330440091],[721570.0825617887,7703732.629719838],[721547.172045348,7703719.459602602],[721513.4236199321,7703703.134144778]]]},""tipo"":null,""nome_logradouro"":null,""codigo"":null,""secao_e"":null,""secao_d"":null}"
"CAD_Secao_Logradouro","tipo",NULL,"text",5,"{""id"":5,""geom"":{""type"":""MultiLineString"",""coordinates"":[[[721205.4692380138,7703247.941967828],[721213.7691556464,7703249.108071957],[721217.6104398401,7703255.075781328]]]},""tipo"":null,""nome_logradouro"":null,""codigo"":null,""secao_e"":null,""secao_d"":null}"
"CAD_Lote","inscricao_lote","01.01.0004.0352","text",55,"{""id"":55,""geom"":{""type"":""Polygon"",""coordinates"":[[[721319.3412337262,7703589.064576336],[721332.8832628289,7703625.176653943],[721350.9921740277,7703618.728784046],[721338.3965823803,7703582.38525398],[721333.5006120747,7703584.054334766],[721319.3412337262,7703589.064576336]]]},""inscricao_lote"":""01.01.0004.0352""}"
"CAD_Secao_Logradouro","codigo","4","integer",55,"{""id"":55,""geom"":{""type"":""MultiLineString"",""coordinates"":[[[721387.8158541458,7703554.936767936],[721358.6747424155,7703565.1222912455],[721326.0238267697,7703577.05770999],[721290.6291366994,7703588.718751293],[721254.8228804655,7703600.928547479],[721209.7680058357,7703617.387191541]]]},""tipo"":null,""nome_logradouro"":null,""codigo"":4,""secao_e"":null,""secao_d"":null}"
"CAD_Edificacao","inscricao","01.01.0005.0058.008","text",153,"{""id"":153,""geom"":{""type"":""MultiPolygon"",""coordinates"":[[[[721126.848296644,7703499.167922136],[721144.6074241354,7703524.904411709],[721149.5510332017,7703521.493139032],[721131.5540470895,7703495.411945254],[721126.848296644,7703499.167922136]]]]},""inscricao"":""01.01.0005.0058.008""}"
"CAD_Secao_Logradouro","nome_logradouro",NULL,"text",41,"{""id"":41,""geom"":{""type"":""MultiLineString"",""coordinates"":[[[721693.9639770341,7703872.699404183],[721713.1703980024,7703894.786788297]]]},""tipo"":null,""nome_logradouro"":null,""codigo"":null,""secao_e"":null,""secao_d"":null}"
"CAD_Edificacao","inscricao","01.01.0002.0028.001","text",129,"{""id"":129,""geom"":{""type"":""MultiPolygon"",""coordinates"":[[[[721399.0465592018,7703456.511177037],[721395.7439730318,7703451.797001616],[721379.7390671615,7703463.009478045],[721378.9230892287,7703462.1777257575],[721375.7346460714,7703464.5916533945],[721373.8277574516,7703462.072934159],[721366.6390137081,7703467.515435825],[721371.7667552921,7703474.764493661],[721390.8761909263,7703461.803835423],[721392.4436448815,7703464.114918696],[721400.1144275538,7703458.307471805],[721398.8608955474,7703456.651740504],[721399.0465592018,7703456.511177037]]]]},""inscricao"":""01.01.0002.0028.001""}"
"CAD_Secao_Logradouro","secao_d",NULL,"integer",50,"{""id"":50,""geom"":{""type"":""MultiLineString"",""coordinates"":[[[721353.5987597308,7703856.648323802],[721333.9807725989,7703847.593868203],[721291.1778915839,7703845.398848663],[721275.2639999244,7703844.02696145],[721234.3817610058,7703843.478206565],[721217.0959821343,7703839.774111092]]]},""tipo"":null,""nome_logradouro"":null,""codigo"":null,""secao_e"":null,""secao_d"":null}"
"CAD_Geocodificacao","proprietario_","Victor Marotta","text",47,"{""id"":47,""geom"":{""type"":""Point"",""coordinates"":[721232.4533756297,7703450.449032282]},""distrito"":1,""setor"":1,""quadra"":5,""lote"":74,""unidade"":2,""inscricao"":""01.01.0005.0074.002"",""inscricao_anterior"":null,""proprietario_"":""Victor Marotta"",""cpf"":""25.944.455/0001-96"",""logradouro_correspondencia"":null,""numero_correspondencia"":null,""\ncomplemento_correspondencia"":null,""bairro_correspondencia"":null,""cep_correspondencia"":null,""ocupacao"":null,""utilizacao"":null,""patrimonio"":null,""imune_isento_iptu"":null,""imune_isento_tsu"":null,""foto"":null,""status"":1}"
"CAD_Geocodificacao","cpf","25.944.455/0001-96","text",17,"{""id"":17,""geom"":{""type"":""Point"",""coordinates"":[721227.2661523898,7703593.059354563]},""distrito"":1,""setor"":1,""quadra"":3,""lote"":33,""unidade"":1,""inscricao"":""01.01.0003.0033.001"",""inscricao_anterior"":null,""proprietario_"":""Victor Marotta"",""cpf"":""25.944.455/0001-96"",""logradouro_correspondencia"":null,""numero_correspondencia"":null,""\ncomplemento_correspondencia"":null,""bairro_correspondencia"":null,""cep_correspondencia"":null,""ocupacao"":null,""utilizacao"":null,""patrimonio"":null,""imune_isento_iptu"":null,""imune_isento_tsu"":null,""foto"":null,""status"":1}"
"CAD_Secao_Logradouro","nome_logradouro",NULL,"text",58,"{""id"":58,""geom"":{""type"":""MultiLineString"",""coordinates"":[[[721616.7953213577,7703774.472279804],[721584.6245662363,7703743.330440091],[721570.0825617887,7703732.629719838],[721547.172045348,7703719.459602602],[721513.4236199321,7703703.134144778]]]},""tipo"":null,""nome_logradouro"":null,""codigo"":null,""secao_e"":null,""secao_d"":null}"
"CAD_Geocodificacao","proprietario_","Victor Marotta","text",22,"{""id"":22,""geom"":{""type"":""Point"",""coordinates"":[721260.7540173008,7703565.5509708915]},""distrito"":1,""setor"":1,""quadra"":3,""lote"":74,""unidade"":2,""inscricao"":""01.01.0003.0074.002"",""inscricao_anterior"":null,""proprietario_"":""Victor Marotta"",""cpf"":""25.944.455/0001-96"",""logradouro_correspondencia"":null,""numero_correspondencia"":null,""\ncomplemento_correspondencia"":null,""bairro_correspondencia"":null,""cep_correspondencia"":null,""ocupacao"":null,""utilizacao"":null,""patrimonio"":null,""imune_isento_iptu"":null,""imune_isento_tsu"":null,""foto"":null,""status"":1}"
"CAD_Secao_Logradouro","secao_d",NULL,"integer",37,"{""id"":37,""geom"":{""type"":""MultiLineString"",""coordinates"":[[[721616.7953213577,7703774.472279804],[721628.5935513811,7703786.956453433]]]},""tipo"":null,""nome_logradouro"":null,""codigo"":null,""secao_e"":null,""secao_d"":null}"
"CAD_Secao_Logradouro","secao_d",NULL,"integer",33,"{""id"":33,""geom"":{""type"":""MultiLineString"",""coordinates"":[[[721647.5255949072,7703775.706978292],[721646.7710569405,7703789.014284251],[721667.349365121,7703818.235481868],[721697.8052612279,7703860.352419278],[721736.9040467707,7703911.935378448],[721745.8213136488,7703923.45923103],[721762.5583376355,7703940.059066296]]]},""tipo"":null,""nome_logradouro"":null,""codigo"":null,""secao_e"":null,""secao_d"":null}"
"CAD_Geocodificacao","cpf","25.944.455/0001-96","text",66,"{""id"":66,""geom"":{""type"":""Point"",""coordinates"":[721522.6774056498,7703539.719512721]},""distrito"":1,""setor"":1,""quadra"":2,""lote"":199,""unidade"":3,""inscricao"":""01.01.0002.0199.003"",""inscricao_anterior"":null,""proprietario_"":""Victor Marotta"",""cpf"":""25.944.455/0001-96"",""logradouro_correspondencia"":null,""numero_correspondencia"":null,""\ncomplemento_correspondencia"":null,""bairro_correspondencia"":null,""cep_correspondencia"":null,""ocupacao"":null,""utilizacao"":null,""patrimonio"":null,""imune_isento_iptu"":null,""imune_isento_tsu"":null,""foto"":"""",""status"":1}"
"CAD_Secao_Logradouro","secao_e",NULL,"integer",7,"{""id"":7,""geom"":{""type"":""MultiLineString"",""coordinates"":[[[721180.59720598,7703277.664649542],[721065.2966621242,7703371.823383071]]]},""tipo"":null,""nome_logradouro"":null,""codigo"":null,""secao_e"":null,""secao_d"":null}"
"CAD_Edificacao","inscricao","01.01.0002.0199.001","text",112,"{""id"":112,""geom"":{""type"":""MultiPolygon"",""coordinates"":[[[[721500.2430477076,7703564.735574684],[721504.4025147699,7703551.473505789],[721495.6214240639,7703548.719436431],[721496.5538438639,7703545.746503736],[721491.1605542828,7703544.054972003],[721488.6114811378,7703552.182451594],[721494.0377007453,7703553.88431138],[721491.5879177514,7703561.695213678],[721500.2430477076,7703564.735574684]]]]},""inscricao"":""01.01.0002.0199.001""}"
"CAD_Edificacao","inscricao","01.01.0003.0130.002","text",15,"{""id"":15,""geom"":{""type"":""MultiPolygon"",""coordinates"":[[[[721302.8332003583,7703553.112772305],[721295.7768385382,7703534.113207028],[721298.4445331292,7703533.12243603],[721299.3876174733,7703535.661732201],[721304.1772501079,7703533.882881982],[721310.3427108673,7703550.483656877],[721302.8332003583,7703553.112772305]]]]},""inscricao"":""01.01.0003.0130.002""}"
"CAD_Geocodificacao","inscricao","01.01.0003.0052.002","text",20,"{""id"":20,""geom"":{""type"":""Point"",""coordinates"":[721231.235547503,7703563.371586946]},""distrito"":1,""setor"":1,""quadra"":3,""lote"":52,""unidade"":2,""inscricao"":""01.01.0003.0052.002"",""inscricao_anterior"":null,""proprietario_"":""Victor Marotta"",""cpf"":""25.944.455/0001-96"",""logradouro_correspondencia"":null,""numero_correspondencia"":null,""\ncomplemento_correspondencia"":null,""bairro_correspondencia"":null,""cep_correspondencia"":null,""ocupacao"":null,""utilizacao"":null,""patrimonio"":null,""imune_isento_iptu"":null,""imune_isento_tsu"":null,""foto"":null,""status"":1}"
"CAD_Geocodificacao","inscricao","01.01.0003.0110.002","text",25,"{""id"":25,""geom"":{""type"":""Point"",""coordinates"":[721287.3452242395,7703554.24970794]},""distrito"":1,""setor"":1,""quadra"":3,""lote"":110,""unidade"":2,""inscricao"":""01.01.0003.0110.002"",""inscricao_anterior"":null,""proprietario_"":""Victor Marotta"",""cpf"":""25.944.455/0001-96"",""logradouro_correspondencia"":null,""numero_correspondencia"":null,""\ncomplemento_correspondencia"":null,""bairro_correspondencia"":null,""cep_correspondencia"":null,""ocupacao"":null,""utilizacao"":null,""patrimonio"":null,""imune_isento_iptu"":null,""imune_isento_tsu"":null,""foto"":null,""status"":1}"
"CAD_Geocodificacao","cpf","25.944.455/0001-96","text",15,"{""id"":15,""geom"":{""type"":""Point"",""coordinates"":[721207.9153512131,7703598.186489918]},""distrito"":1,""setor"":1,""quadra"":3,""lote"":15,""unidade"":1,""inscricao"":""01.01.0003.0015.001"",""inscricao_anterior"":null,""proprietario_"":""Victor Marotta"",""cpf"":""25.944.455/0001-96"",""logradouro_correspondencia"":null,""numero_correspondencia"":null,""\ncomplemento_correspondencia"":null,""bairro_correspondencia"":null,""cep_correspondencia"":null,""ocupacao"":null,""utilizacao"":null,""patrimonio"":null,""imune_isento_iptu"":null,""imune_isento_tsu"":null,""foto"":null,""status"":1}"
"CAD_Edificacao","inscricao","01.01.0005.0058.006","text",151,"{""id"":151,""geom"":{""type"":""MultiPolygon"",""coordinates"":[[[[721150.1156027158,7703479.984265702],[721171.1036624783,7703504.9610065045],[721164.5232722712,7703510.490535919],[721142.9355028424,7703484.800113479],[721150.1156027158,7703479.984265702]]]]},""inscricao"":""01.01.0005.0058.006""}"
"CAD_Geocodificacao","proprietario_","Victor Marotta","text",48,"{""id"":48,""geom"":{""type"":""Point"",""coordinates"":[721246.508727869,7703459.945891904]},""distrito"":1,""setor"":1,""quadra"":5,""lote"":74,""unidade"":3,""inscricao"":""01.01.0005.0074.003"",""inscricao_anterior"":null,""proprietario_"":""Victor Marotta"",""cpf"":""25.944.455/0001-96"",""logradouro_correspondencia"":null,""numero_correspondencia"":null,""\ncomplemento_correspondencia"":null,""bairro_correspondencia"":null,""cep_correspondencia"":null,""ocupacao"":null,""utilizacao"":null,""patrimonio"":null,""imune_isento_iptu"":null,""imune_isento_tsu"":null,""foto"":null,""status"":1}"
"CAD_Secao_Logradouro","secao_d",NULL,"integer",18,"{""id"":18,""geom"":{""type"":""MultiLineString"",""coordinates"":[[[721145.0033091427,7703538.027518808],[721118.1143197869,7703547.6307292925],[721088.6187447284,7703553.392655582],[721065.2966621239,7703557.233939776]]]},""tipo"":null,""nome_logradouro"":null,""codigo"":null,""secao_e"":null,""secao_d"":null}"
"CAD_Lote","inscricao_lote","01.01.0004.0121","text",127,"{""id"":127,""geom"":{""type"":""Polygon"",""coordinates"":[[[721522.1185993438,7703644.655356293],[721540.7697656043,7703650.458276663],[721554.7860193745,7703602.917783935],[721537.0897735285,7703597.513419532],[721524.5555644883,7703636.641950361],[721522.1185993438,7703644.655356293]]]},""inscricao_lote"":""01.01.0004.0121""}"
"CAD_Geocodificacao","proprietario_","Victor Marotta","text",34,"{""id"":34,""geom"":{""type"":""Point"",""coordinates"":[721322.8634792224,7703521.105667861]},""distrito"":1,""setor"":1,""quadra"":3,""lote"":130,""unidade"":3,""inscricao"":""01.01.0003.0130.003"",""inscricao_anterior"":null,""proprietario_"":""Victor Marotta"",""cpf"":""25.944.455/0001-96"",""logradouro_correspondencia"":null,""numero_correspondencia"":null,""\ncomplemento_correspondencia"":null,""bairro_correspondencia"":null,""cep_correspondencia"":null,""ocupacao"":null,""utilizacao"":null,""patrimonio"":null,""imune_isento_iptu"":null,""imune_isento_tsu"":null,""foto"":null,""status"":1}"
"CAD_Geocodificacao","inscricao","01.01.0003.0320.001","text",37,"{""id"":37,""geom"":{""type"":""Point"",""coordinates"":[721316.025740295,7703454.24777613]},""distrito"":1,""setor"":1,""quadra"":3,""lote"":320,""unidade"":1,""inscricao"":""01.01.0003.0320.001"",""inscricao_anterior"":null,""proprietario_"":""Victor Marotta"",""cpf"":""25.944.455/0001-96"",""logradouro_correspondencia"":null,""numero_correspondencia"":null,""\ncomplemento_correspondencia"":null,""bairro_correspondencia"":null,""cep_correspondencia"":null,""ocupacao"":null,""utilizacao"":null,""patrimonio"":null,""imune_isento_iptu"":null,""imune_isento_tsu"":null,""foto"":null,""status"":1}"
"CAD_Geocodificacao","proprietario_","Victor Marotta","text",54,"{""id"":54,""geom"":{""type"":""Point"",""coordinates"":[721390.2911825319,7703480.459108684]},""distrito"":1,""setor"":1,""quadra"":2,""lote"":49,""unidade"":1,""inscricao"":""01.01.0002.0049.001"",""inscricao_anterior"":null,""proprietario_"":""Victor Marotta"",""cpf"":""25.944.455/0001-96"",""logradouro_correspondencia"":null,""numero_correspondencia"":null,""\ncomplemento_correspondencia"":null,""bairro_correspondencia"":null,""cep_correspondencia"":null,""ocupacao"":null,""utilizacao"":null,""patrimonio"":null,""imune_isento_iptu"":null,""imune_isento_tsu"":null,""foto"":null,""status"":1}"
"CAD_Geocodificacao","proprietario_","Victor Marotta","text",77,"{""id"":77,""geom"":{""type"":""Point"",""coordinates"":[721525.906337921,7703606.007592874]},""distrito"":1,""setor"":1,""quadra"":4,""lote"":141,""unidade"":1,""inscricao"":""01.01.0004.0141.001"",""inscricao_anterior"":null,""proprietario_"":""Victor Marotta"",""cpf"":""25.944.455/0001-96"",""logradouro_correspondencia"":null,""numero_correspondencia"":null,""\ncomplemento_correspondencia"":null,""bairro_correspondencia"":null,""cep_correspondencia"":null,""ocupacao"":null,""utilizacao"":null,""patrimonio"":null,""imune_isento_iptu"":null,""imune_isento_tsu"":null,""foto"":null,""status"":1}"
